Downloaded from https://www.gurufocus.com,2023-05-27,
File Name,ICE BofA AAA US Corporate Index Effective Yield 2023-05-27 20:05:09,
,,
,,
Date,Value,YOY (%)
2023-05-25,4.67,32.67
2023-05-24,4.61,29.49
2023-05-23,4.56,24.25
2023-05-22,4.57,26.59
2023-05-19,4.56,24.59
2023-05-18,4.52,22.83
2023-05-17,4.45,18.98
2023-05-16,4.42,21.10
2023-05-15,4.37,18.75
2023-05-12,4.33,21.29
2023-05-11,4.26,16.71
2023-05-10,4.30,16.53
2023-05-09,4.39,17.38
2023-05-08,4.38,16.18
2023-05-05,4.29,14.71
2023-05-04,4.24,17.45
2023-05-03,4.21,15.34
2023-05-02,4.28,15.68
2023-05-01,4.43,22.71
2023-04-30,4.28,18.56
2023-04-28,4.28,19.89
2023-04-27,4.36,24.22
2023-04-26,4.28,22.99
2023-04-25,4.21,18.93
2023-04-24,4.34,20.56
2023-04-21,4.39,22.63
2023-04-20,4.37,25.57
2023-04-19,4.43,25.14
2023-04-18,4.40,26.80
2023-04-17,4.41,28.57
2023-04-14,4.34,26.53
2023-04-13,4.28,28.53
2023-04-12,4.25,27.25
2023-04-11,4.28,26.63
2023-04-10,4.29,29.61
2023-04-06,4.17,29.91
2023-04-05,4.17,32.38
2023-04-04,4.21,38.03
2023-04-03,4.27,40.00
2023-03-31,4.32,43.52
2023-03-30,4.41,46.03
2023-03-29,4.45,44.95
2023-03-28,4.44,41.40
2023-03-27,4.42,40.32
2023-03-24,4.27,40.46
2023-03-23,4.28,42.67
2023-03-22,4.33,42.43
2023-03-21,4.49,49.67
2023-03-20,4.42,51.37
2023-03-17,4.36,47.30
2023-03-16,4.53,50.50
2023-03-15,4.44,45.57
2023-03-14,4.59,50.99
2023-03-13,4.47,53.61
2023-03-10,4.60,57.53
2023-03-09,4.80,69.61
2023-03-08,4.86,72.95
2023-03-07,4.84,80.60
2023-03-06,4.80,83.91
2023-03-03,4.78,80.38
2023-03-02,4.89,83.15
2023-03-01,4.86,93.63
2023-02-28,4.78,83.14
2023-02-27,4.77,72.83
2023-02-24,4.79,74.18
2023-02-23,4.70,72.79
2023-02-22,4.75,75.93
2023-02-21,4.78,79.70
2023-02-20,4.65,74.81
2023-02-17,4.65,73.51
2023-02-16,4.68,72.06
2023-02-15,4.61,70.74
2023-02-14,4.58,71.54
2023-02-13,4.54,74.62
2023-02-10,4.57,71.80
2023-02-09,4.50,76.47
2023-02-08,4.45,73.83
2023-02-07,4.47,75.98
2023-02-06,4.45,73.83
2023-02-03,4.35,76.83
2023-02-02,4.21,76.15
2023-02-01,4.23,74.07
2023-01-31,4.31,76.64
2023-01-30,4.38,79.51
2023-01-27,4.34,79.34
2023-01-26,4.32,79.25
2023-01-25,4.29,81.01
2023-01-24,4.30,83.76
2023-01-23,4.36,87.93
2023-01-20,4.32,83.05
2023-01-19,4.23,80.00
2023-01-18,4.19,76.05
2023-01-17,4.32,88.65
2023-01-16,4.31,88.21
2023-01-13,4.32,93.72
2023-01-12,4.26,91.03
2023-01-11,4.37,95.09
2023-01-10,4.46,96.48
2023-01-09,4.40,96.43
2023-01-06,4.45,100.45
2023-01-05,4.59,110.55
2023-01-04,4.58,112.04
2023-01-03,4.65,116.28
2022-12-31,4.67,130.05
2022-12-30,4.67,126.70
2022-12-29,4.65,123.56
2022-12-28,4.71,130.88
2022-12-27,4.68,128.29
2022-12-23,4.58,121.26
2022-12-22,4.52,120.49
2022-12-21,4.51,116.83
2022-12-20,4.54,123.65
2022-12-19,4.45,120.30
2022-12-16,4.35,114.29
2022-12-15,4.32,108.70
2022-12-14,4.31,111.27
