Downloaded from https://www.gurufocus.com,2023-05-26,
File Name,S&P 500 Dividend Yield 2023-05-26 21:01:38,
,,
,,
Date,Value,YOY (%)
2023-05-25,1.66,5.06
2023-05-24,1.66,4.40
2023-05-23,1.65,4.43
2023-05-22,1.63,1.24
2023-05-21,1.63,1.24
2023-05-19,1.63,1.24
2023-05-18,1.63,1.87
2023-05-17,1.64,7.19
2023-05-16,1.66,6.41
2023-05-15,1.65,5.77
2023-05-14,1.65,5.77
2023-05-12,1.65,3.77
2023-05-11,1.65,3.77
2023-05-10,1.65,5.10
2023-05-09,1.66,5.73
2023-05-08,1.65,8.55
2023-05-05,1.65,9.27
2023-05-04,1.68,15.07
2023-05-03,1.67,11.33
2023-05-02,1.66,9.93
2023-05-01,1.64,9.33
2023-04-28,1.64,13.10
2023-04-27,1.65,11.49
2023-04-26,1.68,13.51
2023-04-25,1.68,16.67
2023-04-24,1.65,13.79
2023-04-21,1.65,17.02
2023-04-20,1.65,18.71
2023-04-19,1.64,17.99
2023-04-18,1.64,16.31
2023-04-17,1.64,16.31
2023-04-14,1.65,17.02
2023-04-13,1.65,18.71
2023-04-12,1.67,18.44
2023-04-11,1.66,18.57
2023-04-10,1.66,20.29
2023-04-06,1.66,20.29
2023-04-05,1.67,21.90
2023-04-04,1.66,22.96
2023-04-03,1.65,21.32
2023-03-31,1.66,21.17
2023-03-30,1.67,24.63
2023-03-29,1.68,26.32
2023-03-28,1.71,27.61
2023-03-27,1.70,25.93
2023-03-24,1.71,25.74
2023-03-23,1.72,24.64
2023-03-22,1.72,26.47
2023-03-21,1.69,22.46
2023-03-20,1.72,24.64
2023-03-17,1.73,24.46
2023-03-16,1.71,21.28
2023-03-15,1.74,20.83
2023-03-14,1.73,17.69
2023-03-13,1.76,20.55
2023-03-10,1.76,22.22
2023-03-09,1.73,20.14
2023-03-08,1.70,15.65
2023-03-07,1.70,16.44
2023-03-06,1.67,17.61
2023-03-03,1.68,19.15
2023-03-02,1.70,21.43
2023-03-01,1.72,20.28
2023-02-28,1.71,21.28
2023-02-27,1.69,21.58
2023-02-24,1.70,19.72
2023-02-23,1.68,16.67
2023-02-22,1.69,19.01
2023-02-21,1.69,20.71
2023-02-17,1.65,18.71
2023-02-16,1.65,21.32
2023-02-15,1.62,19.12
2023-02-14,1.63,18.12
2023-02-13,1.63,18.12
2023-02-10,1.65,22.22
2023-02-09,1.65,24.06
2023-02-08,1.64,21.48
2023-02-07,1.62,19.12
2023-02-06,1.64,21.48
2023-02-03,1.63,19.85
2023-02-02,1.61,21.05
2023-02-01,1.64,22.39
2023-01-31,1.65,22.22
2023-01-30,1.67,22.79
2023-01-27,1.64,17.14
2023-01-26,1.65,18.71
2023-01-25,1.67,20.14
2023-01-24,1.67,21.90
2023-01-23,1.67,21.90
2023-01-20,1.69,25.19
2023-01-19,1.72,29.32
2023-01-18,1.70,28.79
2023-01-17,1.68,29.23
2023-01-13,1.67,28.46
2023-01-12,1.68,31.25
2023-01-11,1.69,32.03
2023-01-10,1.71,32.56
2023-01-09,1.72,33.33
2023-01-06,1.72,33.33
2023-01-05,1.76,36.43
2023-01-04,1.74,38.10
2023-01-03,1.75,38.89
2022-12-30,1.73,37.30
2022-12-29,1.73,38.40
2022-12-28,1.76,40.80
2022-12-27,1.73,38.40
2022-12-23,1.73,36.22
2022-12-22,1.74,35.94
2022-12-21,1.71,32.56
2022-12-20,1.74,32.82
2022-12-19,1.74,33.85
2022-12-16,1.72,33.33
2022-12-15,1.70,33.86
2022-12-14,1.66,27.69
2022-12-13,1.65,27.91
2022-12-12,1.66,30.71
2022-12-09,1.69,31.01
2022-12-08,1.68,31.25
2022-12-07,1.69,32.03
2022-12-06,1.68,28.24
2022-12-05,1.66,25.76
2022-12-02,1.63,24.43
2022-12-01,1.63,22.56
2022-11-30,1.63,24.43
2022-11-29,1.66,29.69
2022-11-28,1.66,27.69
2022-11-25,1.64,29.13
2022-11-23,1.64,29.13
2022-11-22,1.65,29.92
2022-11-21,1.67,31.50
2022-11-18,1.66,30.71
2022-11-17,1.67,31.50
2022-11-16,1.66,30.71
2022-11-15,1.65,29.92
2022-11-14,1.66,30.71
2022-11-11,1.65,28.91
2022-11-10,1.66,29.69
2022-11-09,1.76,38.58
2022-11-08,1.72,35.43
2022-11-07,1.73,36.22
2022-11-04,1.75,37.80
2022-11-03,1.77,38.28
2022-11-02,1.75,35.66
2022-11-01,1.71,32.56
2022-10-31,1.70,31.78
2022-10-28,1.67,29.46
2022-10-27,1.72,32.31
2022-10-26,1.71,31.54
2022-10-25,1.69,30.00
2022-10-24,1.72,32.31
2022-10-21,1.74,33.85
2022-10-20,1.78,35.88
2022-10-19,1.77,35.11
2022-10-18,1.76,33.33
2022-10-17,1.78,33.83
2022-10-14,1.82,35.82
2022-10-13,1.78,30.88
2022-10-12,1.83,34.56
2022-10-11,1.82,33.82
2022-10-10,1.81,34.07
2022-10-07,1.80,33.33
2022-10-06,1.74,27.94
2022-10-05,1.73,27.21
2022-10-04,1.72,24.64
2022-10-03,1.78,30.88
2022-09-30,1.82,31.88
2022-09-29,1.78,31.85
2022-09-28,1.75,29.63
2022-09-27,1.78,34.85
2022-09-26,1.78,34.85
2022-09-23,1.76,33.33
2022-09-22,1.73,29.10
2022-09-21,1.71,26.67
2022-09-20,1.68,24.44
2022-09-19,1.66,24.81
2022-09-16,1.68,28.24
2022-09-15,1.66,26.72
2022-09-14,1.64,24.24
2022-09-13,1.65,25.00
2022-09-12,1.58,19.70
2022-09-09,1.60,22.14
2022-09-08,1.62,24.62
2022-09-07,1.63,25.38
2022-09-06,1.66,27.69
2022-09-02,1.65,26.92
2022-09-01,1.64,26.15
2022-08-31,1.64,26.15
2022-08-30,1.62,25.58
2022-08-29,1.60,24.03
2022-08-26,1.59,21.37
2022-08-25,1.54,18.46
2022-08-24,1.56,20.00
2022-08-23,1.56,20.00
2022-08-22,1.56,19.08
2022-08-19,1.52,15.15
2022-08-18,1.51,13.53
2022-08-17,1.51,15.27
2022-08-16,1.50,15.38
2022-08-15,1.50,14.50
2022-08-12,1.51,15.27
2022-08-11,1.53,16.79
2022-08-10,1.53,15.91
2022-08-09,1.56,18.18
2022-08-08,1.56,18.18
2022-08-05,1.56,18.18
2022-08-04,1.55,16.54
2022-08-03,1.55,17.42
2022-08-02,1.58,18.80
2022-08-01,1.57,18.94
2022-07-29,1.55,18.32
2022-07-28,1.57,18.94
2022-07-27,1.59,20.45
2022-07-26,1.63,24.43
2022-07-25,1.61,22.90
2022-07-22,1.62,21.80
2022-07-21,1.60,20.30
2022-07-20,1.62,20.90
2022-07-19,1.63,19.85
2022-07-18,1.67,24.63
2022-07-15,1.66,24.81
2022-07-14,1.69,28.03
2022-07-13,1.68,27.27
2022-07-12,1.68,27.27
2022-07-11,1.66,25.76
2022-07-08,1.64,22.39
2022-07-07,1.64,23.31
2022-07-06,1.67,25.56
2022-07-05,1.67,25.56
2022-07-01,1.67,24.63
2022-06-30,1.69,25.19
2022-06-29,1.66,22.96
2022-06-28,1.66,22.96
2022-06-27,1.62,20.00
2022-06-24,1.62,19.12
2022-06-23,1.67,22.79
2022-06-22,1.69,24.26
2022-06-21,1.68,22.63
2022-06-17,1.72,25.55
2022-06-16,1.73,26.28
2022-06-15,1.67,22.79
2022-06-14,1.70,25.00
2022-06-13,1.69,24.26
2022-06-10,1.62,19.12
2022-06-09,1.58,15.33
2022-06-08,1.54,12.41
2022-06-07,1.52,10.95
2022-06-06,1.54,12.41
2022-06-03,1.54,11.59
2022-06-02,1.52,10.95
2022-06-01,1.54,11.59
2022-05-31,1.53,11.68
2022-05-27,1.51,10.22
2022-05-26,1.54,11.59
2022-05-25,1.58,14.49
2022-05-24,1.59,15.22
2022-05-23,1.58,13.67
2022-05-20,1.61,15.83
2022-05-19,1.61,15.00
2022-05-18,1.60,14.29
2022-05-17,1.53,10.07
2022-05-16,1.56,13.04
2022-05-13,1.56,11.43
2022-05-12,1.59,11.97
2022-05-11,1.59,14.39
2022-05-10,1.57,13.77
2022-05-09,1.57,15.44
2022-05-06,1.52,10.95
2022-05-05,1.51,8.63
2022-05-04,1.46,5.04
2022-05-03,1.50,8.70
2022-05-02,1.51,9.42
2022-04-29,1.50,9.49
2022-04-28,1.45,5.07
2022-04-27,1.48,7.25
2022-04-26,1.48,7.25
2022-04-25,1.44,4.35
2022-04-22,1.45,4.32
2022-04-21,1.41,2.17
2022-04-20,1.39,0.00
2022-04-19,1.39,0.72
2022-04-18,1.41,2.17
2022-04-14,1.41,0.71
2022-04-13,1.39,0.00
2022-04-12,1.41,0.71
2022-04-11,1.40,0.00
2022-04-08,1.38,-2.13
2022-04-07,1.38,-2.13
2022-04-06,1.38,-2.82
2022-04-05,1.37,-2.84
2022-04-04,1.35,-5.59
2022-04-01,1.36,-4.90
2022-03-31,1.37,-5.52
2022-03-30,1.34,-8.22
2022-03-29,1.33,-8.90
2022-03-28,1.34,-8.22
2022-03-25,1.35,-8.78
2022-03-24,1.36,-8.72
2022-03-23,1.38,-6.76
2022-03-22,1.36,-7.48
2022-03-21,1.38,-6.76
2022-03-18,1.38,-6.76
2022-03-17,1.39,-4.79
2022-03-16,1.41,-3.42
2022-03-15,1.44,-1.37
2022-03-14,1.47,0.00
2022-03-11,1.46,-0.68
2022-03-10,1.44,-2.70
2022-03-09,1.44,-3.36
2022-03-08,1.47,-2.65
2022-03-07,1.46,-3.31
2022-03-04,1.42,-7.79
2022-03-03,1.41,-7.24
2022-03-02,1.40,-6.67
2022-03-01,1.43,-3.38
2022-02-28,1.41,-7.24
2022-02-25,1.39,-8.55
