Downloaded from https://www.gurufocus.com,2023-05-27,
File Name,S&P 500 Earnings Yield 2023-05-27 19:43:54,
,,
,,
Date,Value,YOY (%)
2023-05-26,4.11,-14.91
2023-05-25,4.16,-15.62
2023-05-24,4.20,-15.49
2023-05-23,4.17,-15.42
2023-05-22,4.12,-18.09
2023-05-21,4.12,-18.09
2023-05-19,4.12,-18.09
2023-05-18,4.12,-17.60
2023-05-17,4.15,-13.36
2023-05-16,4.20,-14.11
2023-05-15,4.18,-14.17
2023-05-14,4.19,-13.96
2023-05-12,4.19,-16.03
2023-05-11,4.18,-16.06
2023-05-10,4.18,-14.69
2023-05-09,4.19,-14.66
2023-05-08,4.18,-12.00
2023-05-05,4.18,-11.63
2023-05-04,4.25,-6.80
2023-05-03,4.22,-10.21
2023-05-02,4.19,-11.23
2023-05-01,4.15,-13.36
2023-04-28,4.14,-10.39
2023-04-27,4.18,-11.63
2023-04-26,4.26,-10.13
2023-04-25,4.24,-8.03
2023-04-24,4.18,-9.72
2023-04-21,4.18,-7.11
2023-04-20,4.18,-5.86
2023-04-19,4.16,-6.31
2023-04-18,4.16,-7.76
2023-04-17,4.16,-7.76
2023-04-14,4.18,-7.32
2023-04-13,4.17,-6.29
2023-04-12,4.22,-6.22
2023-04-11,4.20,-6.46
2023-04-10,4.20,-4.76
2023-04-06,4.21,-4.75
2023-04-05,4.22,-3.43
2023-04-04,4.21,-2.55
2023-04-03,4.19,-3.68
2023-03-31,4.20,-3.89
2023-03-30,4.27,-0.70
2023-03-29,4.29,0.47
2023-03-28,4.35,0.46
2023-03-27,4.34,-0.46
2023-03-24,4.35,-0.68
2023-03-23,4.38,-1.35
2023-03-22,4.39,0.00
2023-03-21,4.32,-2.70
2023-03-20,4.37,-1.35
2023-03-17,4.41,-1.78
2023-03-16,4.36,-3.96
2023-03-15,4.44,-4.31
2023-03-14,4.41,-6.96
2023-03-13,4.48,-4.88
2023-03-10,4.47,-3.87
2023-03-09,4.41,-4.75
2023-03-08,4.33,-8.84
2023-03-07,4.33,-8.07
2023-03-06,4.27,-6.56
2023-03-03,4.27,-5.95
2023-03-02,4.34,-3.77
2023-03-01,4.37,-5.00
2023-02-28,4.35,-3.97
2023-02-27,4.34,-3.77
2023-02-24,4.35,-5.64
2023-02-23,4.31,-7.91
2023-02-22,4.33,-5.87
2023-02-21,4.32,-5.05
2023-02-17,4.24,-6.19
2023-02-16,4.22,-4.52
2023-02-15,4.17,-5.87
2023-02-14,4.18,-7.11
2023-02-13,4.18,-6.70
2023-02-10,4.22,-3.87
2023-02-09,4.23,-1.86
2023-02-08,4.20,-4.11
2023-02-07,4.15,-5.90
2023-02-06,4.20,-4.55
2023-02-03,4.18,-5.43
2023-02-02,4.13,-4.18
2023-02-01,4.19,-3.68
2023-01-31,4.24,-3.20
2023-01-30,4.30,-3.80
2023-01-27,4.24,-7.22
2023-01-26,4.25,-6.59
2023-01-25,4.30,-5.29
2023-01-24,4.30,-4.23
2023-01-23,4.30,-4.44
2023-01-20,4.35,-1.36
2023-01-19,4.43,1.37
2023-01-18,4.40,1.85
2023-01-17,4.33,2.12
2023-01-13,4.32,1.65
2023-01-12,4.34,3.58
2023-01-11,4.35,3.57
2023-01-10,4.41,4.01
2023-01-09,4.44,4.96
2023-01-06,4.44,5.46
2023-01-05,4.54,7.84
2023-01-04,4.48,8.47
2023-01-03,4.52,9.44
2022-12-30,4.63,16.33
2022-12-29,4.61,16.12
2022-12-28,4.69,17.84
2022-12-27,4.64,16.88
2022-12-23,4.62,14.64
2022-12-22,4.65,14.81
2022-12-21,4.58,11.71
2022-12-20,4.65,11.51
2022-12-19,4.65,12.86
2022-12-16,4.61,12.99
2022-12-15,4.56,12.87
2022-12-14,4.45,8.27
2022-12-13,4.42,8.33
2022-12-12,4.45,10.15
2022-12-09,4.51,10.54
2022-12-08,4.48,10.62
2022-12-07,4.51,11.08
2022-12-06,4.51,8.67
2022-12-05,4.44,5.71
2022-12-02,4.36,4.81
2022-12-01,4.36,3.32
2022-11-30,4.35,4.32
2022-11-29,4.61,17.30
2022-11-28,4.60,15.58
2022-11-25,4.53,16.45
2022-11-23,4.53,16.15
2022-11-22,4.56,16.62
2022-11-21,4.62,18.77
2022-11-18,4.60,18.25
2022-11-17,4.62,18.46
2022-11-16,4.61,18.51
2022-11-15,4.57,16.88
2022-11-14,4.61,17.90
2022-11-11,4.57,16.28
2022-11-10,4.61,17.01
2022-11-09,4.87,24.87
2022-11-08,4.77,22.62
2022-11-07,4.79,23.14
2022-11-04,4.84,23.79
2022-11-03,4.90,24.68
2022-11-02,4.85,22.78
2022-11-01,4.73,19.14
2022-10-31,4.71,23.62
2022-10-28,4.80,25.65
2022-10-27,4.92,27.79
2022-10-26,4.89,27.34
2022-10-25,4.85,26.30
2022-10-24,4.93,27.72
2022-10-21,4.99,29.27
2022-10-20,5.11,32.04
2022-10-19,5.07,30.67
2022-10-18,5.03,28.64
2022-10-17,5.09,29.85
2022-10-14,5.23,32.41
2022-10-13,5.10,26.87
2022-10-12,5.23,29.78
2022-10-11,5.22,29.85
2022-10-10,5.18,29.50
2022-10-07,5.14,28.82
2022-10-06,5.00,24.38
2022-10-05,4.95,22.52
2022-10-04,4.94,21.08
2022-10-03,5.09,26.30
2022-09-30,5.22,28.26
2022-09-29,5.19,33.08
2022-09-28,5.08,30.26
2022-09-27,5.18,35.60
2022-09-26,5.17,35.70
2022-09-23,5.12,34.03
2022-09-22,5.03,29.97
2022-09-21,4.99,27.95
2022-09-20,4.90,25.64
2022-09-19,4.84,26.37
2022-09-16,4.88,28.42
2022-09-15,4.84,27.70
2022-09-14,4.79,25.39
2022-09-13,4.80,26.32
2022-09-12,4.60,20.73
2022-09-09,4.65,23.02
2022-09-08,4.72,25.53
2022-09-07,4.75,26.33
2022-09-06,4.83,28.80
2022-09-02,4.81,28.61
2022-09-01,4.76,26.60
2022-08-31,4.78,27.13
2022-08-30,4.78,31.68
2022-08-29,4.73,29.95
2022-08-26,4.70,27.72
2022-08-25,4.54,24.04
2022-08-24,4.60,25.68
2022-08-23,4.62,25.89
2022-08-22,4.61,24.59
2022-08-19,4.51,20.91
2022-08-18,4.45,19.30
2022-08-17,4.46,20.87
2022-08-16,4.43,20.71
2022-08-15,4.44,20.65
2022-08-12,4.45,20.92
2022-08-11,4.53,22.76
2022-08-10,4.53,22.43
2022-08-09,4.62,24.53
2022-08-08,4.60,24.32
