Downloaded from https://www.gurufocus.com,2023-05-27,
File Name,S&P 500 Price to Book Value 2023-05-27 19:46:29,
,,
,,
Date,Value,YOY (%)
2023-05-26,4.10,1.49
2023-05-25,4.05,2.27
2023-05-24,4.02,2.55
2023-05-23,4.05,2.53
2023-05-22,4.09,5.41
2023-05-21,4.09,5.41
2023-05-19,4.09,5.41
2023-05-18,4.10,5.13
2023-05-17,4.06,-0.25
2023-05-16,4.01,0.50
2023-05-15,4.04,1.00
2023-05-14,4.03,0.75
2023-05-12,4.03,3.07
2023-05-11,4.03,3.07
2023-05-10,4.04,1.51
2023-05-09,4.02,1.26
2023-05-08,4.04,-1.46
2023-05-05,4.04,-1.94
2023-05-04,3.96,-7.48
2023-05-03,3.99,-3.86
2023-05-02,4.02,-2.66
2023-05-01,4.07,-0.97
2023-04-28,4.07,-4.46
2023-04-27,4.04,-2.88
2023-04-26,3.96,-4.58
2023-04-25,3.97,-7.03
2023-04-24,4.04,-4.94
2023-04-21,4.03,-7.78
2023-04-20,4.03,-9.03
2023-04-19,4.05,-8.78
2023-04-18,4.06,-7.09
2023-04-17,4.05,-7.32
2023-04-14,4.04,-7.55
2023-04-13,4.05,-8.37
2023-04-12,3.99,-8.70
2023-04-11,4.01,-8.66
2023-04-10,4.01,-10.09
2023-04-06,4.01,-10.09
2023-04-05,3.99,-11.33
2023-04-04,4.00,-12.28
2023-04-03,4.03,-10.84
2023-03-31,4.01,-11.09
2023-03-30,3.95,-13.57
2023-03-29,3.93,-14.38
2023-03-28,3.88,-14.54
2023-03-27,3.88,-13.97
2023-03-24,3.88,-13.39
2023-03-23,3.85,-12.90
2023-03-22,3.84,-14.29
2023-03-21,3.91,-11.74
2023-03-20,3.86,-12.87
2023-03-17,3.82,-12.79
2023-03-16,3.87,-10.42
2023-03-15,3.80,-10.17
2023-03-14,3.83,-7.49
2023-03-13,3.76,-9.83
2023-03-10,3.77,-10.87
2023-03-09,3.82,-9.91
2023-03-08,3.90,-5.80
2023-03-07,3.89,-6.71
2023-03-06,3.95,-7.93
2023-03-03,3.95,-8.78
2023-03-02,3.89,-10.57
2023-03-01,3.86,-9.60
2023-02-28,3.88,-10.60
2023-02-27,3.89,-10.57
2023-02-24,3.87,-8.94
2023-02-23,3.92,-6.44
2023-02-22,3.90,-8.67
2023-02-21,3.90,-9.51
2023-02-17,3.98,-8.51
2023-02-16,3.99,-10.14
2023-02-15,4.05,-8.78
2023-02-14,4.04,-7.55
2023-02-13,4.04,-7.76
2023-02-10,3.99,-10.74
2023-02-09,3.98,-12.53
2023-02-08,4.02,-10.47
2023-02-07,4.06,-8.76
2023-02-06,4.01,-10.09
2023-02-03,4.04,-9.01
2023-02-02,4.08,-10.33
2023-02-01,4.02,-10.86
2023-01-31,3.98,-11.16
2023-01-30,3.92,-10.91
2023-01-27,3.97,-7.46
2023-01-26,3.96,-8.33
2023-01-25,3.92,-9.26
2023-01-24,3.92,-10.50
2023-01-23,3.92,-10.09
2023-01-20,3.88,-12.81
2023-01-19,3.81,-15.33
2023-01-18,3.83,-15.64
2023-01-17,3.90,-15.77
2023-01-13,3.90,-15.58
2023-01-12,3.89,-17.06
2023-01-11,3.87,-17.31
2023-01-10,3.83,-17.28
2023-01-09,3.80,-18.10
2023-01-06,3.80,-18.45
2023-01-05,3.72,-20.17
2023-01-04,3.76,-21.01
2023-01-03,3.73,-21.64
2022-12-30,3.85,-20.78
2022-12-29,3.86,-20.90
2022-12-28,3.80,-21.97
2022-12-27,3.84,-21.15
2022-12-23,3.86,-19.75
2022-12-22,3.84,-19.67
2022-12-21,3.89,-17.76
2022-12-20,3.84,-17.42
2022-12-19,3.83,-18.51
2022-12-16,3.87,-18.53
2022-12-15,3.91,-18.37
2022-12-14,4.01,-14.86
2022-12-13,4.03,-15.16
2022-12-12,4.01,-16.28
2022-12-09,3.95,-16.84
2022-12-08,3.98,-16.74
