,Date Run,Backtest_id,Ticker,algo,Prediction Window,Lookback Window,Number of Estimators,Max Depth,Annualized Return,Benchmark Annualized Return,Active Annualized Return,Cumulative Returns,Sharpe Ratio,Benchmark Sharpe Ratio,Sortino Ratio,Max Drawdown,Mean Squared Error
0,2023-06-21,9d27402c-ab8d-49a0-aee6-ca18f8f50341,^GSPC,xg,21,2560,10,5,0.07883977958539368,0.07590275610868358,0.002937023476710099,1796.123255708258,0.5687366377298866,0.4947506674646198,0.8055269160771553,-0.30642397079597045,4.717289037978604
0,2023-06-21,9d27402c-ab8d-49a0-aee6-ca18f8f50341,^GSPC,xg,21,2560,10,5,0.10648809384232916,0.06636105292370842,0.04012704091862074,1692.786559675333,0.537494771002662,0.4335969250719688,0.7629678504626964,-0.43643546911941306,4.717289037978604
0,2023-07-01,85681b87-d7a4-42b6-a61c-216e6ce71f22,^GSPC,xg,21,2560,10,5,0.11103527123912937,0.07593582421301459,0.03509944702611478,5847.206576538864,0.5708613371035122,0.4949797480790445,0.8086165204562181,-0.4364354691194131,4.717757169992948
0,2023-07-01,94761990-fe99-4430-8336-d74e2973aebc,^GSPC,xg,3,256,2,1,0.08031434025550976,0.08203226654069629,-0.0017179262851865218,4005.2135103647656,0.49932557754079016,0.5425215031686828,0.6936019082403847,-0.4879179239778271,1.833390501259305
0,2023-07-01,62633b2e-c876-4bd9-936f-1bcedaab209a,^GSPC,linreg,3,256,2,1,0.04519150265692229,0.08203226654069629,-0.036840763883774,737.6789524522218,0.3348763388417324,0.5425215031686828,0.4673745655027481,-0.6409087062298021,2.076447614954641
0,2023-07-01,47232a2c-1138-43fb-92f5-efad294d3ef8,^GSPC,xg,3,256,2,1,0.057199414673667626,0.08203226654069629,-0.02483285186702866,1350.9111205730371,0.4993255775408125,0.5425215031686828,0.6936019082403777,-0.3568122845771136,1.833390501259305
0,2023-07-01,0ccd6db0-0b0c-468c-9d01-834e3dac6cfb,^GSPC,linreg,3,256,2,1,0.033838471225647426,0.08203226654069629,-0.04819379531504886,395.43971823193135,0.3348763388417571,0.5425215031686828,0.467374565502748,-0.4813631317244049,2.076447614954641
0,2023-07-01,2afe00f1-13b5-4d84-a0ef-670a01e66461,^GSPC,xg,3,512,2,1,0.06764049014558604,0.08326338377589027,-0.015622893630304224,2077.74513183065,0.5427918246784915,0.546442304462285,0.7591675001429632,-0.334759523279205,1.842217797328331
0,2023-07-01,4306c363-fb88-42fe-9fb9-4706dc6a90d2,^GSPC,linreg,3,512,2,1,0.04873896464386607,0.08326338377589027,-0.0345244191320242,839.3863191479054,0.44679726042740564,0.546442304462285,0.6219774600799597,-0.4424374939921777,1.9453173048779524
0,2023-07-01,07db9c5b-f8ca-4d0f-95b9-8612f239a3f6,^GSPC,xg,3,768,2,1,0.08886471416394759,0.08510572465497757,0.003758989508970023,4944.923935411187,0.672675449919112,0.5540241506632692,0.955758398032331,-0.398131499112417,1.8453391271460882
0,2023-07-01,febad783-0eea-480a-99de-fe8353444c98,^GSPC,linreg,3,768,2,1,0.05503676094408427,0.08510572465497757,-0.030068963710893293,1079.2391323920053,0.48503310426800417,0.5540241506632692,0.6712054205409579,-0.5115382281445283,1.9111338823184523
0,2023-07-01,821fe65b-606c-45ec-b947-9f62246ecbab,^GSPC,xg,3,1280,2,1,0.06142873394882975,0.08239872714393792,-0.020969993195108172,1279.7913540568113,0.4711889128576828,0.5370278877837947,0.6509544881863986,-0.5828308398616583,1.8520536922731883
0,2023-07-01,36c30911-94f3-433a-8d64-2fccfbdc4146,^GSPC,linreg,3,1280,2,1,0.05377414990848184,0.08239872714393792,-0.028624577235456083,903.3059763894794,0.45443420234087795,0.5370278877837947,0.6299638149504778,-0.5084106882389823,1.883526205250295
0,2023-07-01,afc28408-bd10-4e37-9c4e-6664c6a4628a,^GSPC,xg,3,1920,2,1,0.061983035916892915,0.0816318568662111,-0.01964882094931819,1111.8949621836027,0.4451434334766254,0.5306613640669555,0.6063267174215842,-0.6475738762512313,1.852191612687156
